model_name,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning,tot_time
Reinforce_500_b0_hS_rs42_250615_11-14-54,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(7.116186368013153), np.float64(6.698416859632072), np.float64(6.37264372521121), np.float64(6.3081745997160965), np.float64(6.844619028077897), np.float64(7.13043165733742), np.float64(13.027497493254423), np.float64(8.077129354717556), np.float64(16.054589750919053), np.float64(15.756424079703176)]","[np.float64(3.1887149551261484), np.float64(6.546505494772811), np.float64(7.350656005942654), np.float64(7.852069618401556), np.float64(7.588852621487363), np.float64(8.342629735312677), np.float64(10.852432592627515), np.float64(14.027529539699083), np.float64(18.169916150718883), np.float64(27.41617980866274)]","[np.float64(6.377429910252294), np.float64(6.546505494772813), np.float64(7.026247307379207), np.float64(7.199287556587186), np.float64(7.25128943302247), np.float64(7.58040161616235), np.float64(8.28018747862391), np.float64(9.192183597046526), np.float64(10.477904961311674), np.float64(12.836982839369771)]","[0.03132033348083496, 0.024535417556762695, 0.029007911682128906, 0.030337810516357422, 0.0373835563659668, 0.03848910331726074, 0.08021783828735352, 0.1025998592376709, 0.08033919334411621, 0.0540008544921875]","[np.float64(0.015176191329956054), np.float64(0.030843331813812255), np.float64(0.03235069751739502), np.float64(0.03278475999832153), np.float64(0.03702169418334961), np.float64(0.04266050815582276), np.float64(0.04810311794281006), np.float64(0.060109796524047854), np.float64(0.09653283357620239), np.float64(0.11630200624465942)]","[0.030352382659912094, 0.030843331813812255, 0.031684592564900714, 0.03181404590606688, 0.03381943321228026, 0.035429533322652154, 0.03790048599243159, 0.04159959912300106, 0.05092989656660288, 0.05654008054733271]",28.506197452545166
Reinforce_500_b0_hS_rs42_250615_12-15-05,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(7.116186368013153), np.float64(6.698416859632072), np.float64(6.37264372521121), np.float64(6.3081745997160965), np.float64(6.844619028077897), np.float64(7.13043165733742), np.float64(13.027497493254423), np.float64(8.077129354717556), np.float64(16.054589750919053), np.float64(15.756424079703176)]","[np.float64(3.1887149551261484), np.float64(6.546505494772811), np.float64(7.350656005942654), np.float64(7.852069618401556), np.float64(7.588852621487363), np.float64(8.342629735312677), np.float64(10.852432592627515), np.float64(14.027529539699083), np.float64(18.169916150718883), np.float64(27.41617980866274)]","[np.float64(6.377429910252294), np.float64(6.546505494772813), np.float64(7.026247307379207), np.float64(7.199287556587186), np.float64(7.25128943302247), np.float64(7.58040161616235), np.float64(8.28018747862391), np.float64(9.192183597046526), np.float64(10.477904961311674), np.float64(12.836982839369771)]","[0.04729914665222168, 0.03174543380737305, 0.034981727600097656, 0.0449824333190918, 0.0451817512512207, 0.05948829650878906, 0.08447933197021484, 0.0631256103515625, 0.09324955940246582, 0.1459670066833496]","[np.float64(0.020460360050201416), np.float64(0.042109079360961914), np.float64(0.046059761047363285), np.float64(0.04905769824981689), np.float64(0.0525883936882019), np.float64(0.05744222640991211), np.float64(0.06696028470993041), np.float64(0.08241685390472413), np.float64(0.12044850587844849), np.float64(0.17370782375335694)]","[0.0409207201004028, 0.04210907936096191, 0.044346747398376456, 0.045583388805389376, 0.04764340591430664, 0.04953633467356361, 0.05316251414162767, 0.05775646448135374, 0.06811495674981012, 0.08094673633575435]",40.87347960472107
Reinforce_500_b0_hS_rs42_250615_12-41-47,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(7.116186368013153), np.float64(6.698416859632072), np.float64(6.37264372521121), np.float64(6.3081745997160965), np.float64(6.844619028077897), np.float64(7.13043165733742), np.float64(13.027497493254423), np.float64(8.077129354717556), np.float64(16.054589750919053), np.float64(15.756424079703176)]","[np.float64(3.1887149551261484), np.float64(6.546505494772811), np.float64(7.350656005942654), np.float64(7.852069618401556), np.float64(7.588852621487363), np.float64(8.342629735312677), np.float64(10.852432592627515), np.float64(14.027529539699083), np.float64(18.169916150718883), np.float64(27.41617980866274)]","[np.float64(6.377429910252294), np.float64(6.546505494772813), np.float64(7.026247307379207), np.float64(7.199287556587186), np.float64(7.25128943302247), np.float64(7.58040161616235), np.float64(8.28018747862391), np.float64(9.192183597046526), np.float64(10.477904961311674), np.float64(12.836982839369771)]","[0.022279024124145508, 0.015642881393432617, 0.019443273544311523, 0.04007363319396973, 0.018832921981811523, 0.024794578552246094, 0.023808717727661133, 0.02282857894897461, 0.04437375068664551, 0.02697587013244629]","[np.float64(0.009431414604187012), np.float64(0.018238677978515624), np.float64(0.01768970251083374), np.float64(0.019844701290130617), np.float64(0.022677457332611083), np.float64(0.023231773376464843), np.float64(0.022914848327636718), np.float64(0.024288721084594726), np.float64(0.027703685760498045), np.float64(0.035376362800598145)]","[0.018862829208374017, 0.018238677978515624, 0.018080744743347164, 0.019041689634323115, 0.019919429779052734, 0.020438384215037023, 0.020775263650076713, 0.021400968432426445, 0.022314913007948148, 0.024196047306060797]",12.248685121536255
Reinforce_500_b0_hS_rs42_250615_12-44-18,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(7.116186368013153), np.float64(6.698416859632072), np.float64(6.37264372521121), np.float64(6.3081745997160965), np.float64(6.844619028077897), np.float64(7.13043165733742), np.float64(13.027497493254423), np.float64(8.077129354717556), np.float64(16.054589750919053), np.float64(15.756424079703176)]","[np.float64(3.1887149551261484), np.float64(6.546505494772811), np.float64(7.350656005942654), np.float64(7.852069618401556), np.float64(7.588852621487363), np.float64(8.342629735312677), np.float64(10.852432592627515), np.float64(14.027529539699083), np.float64(18.169916150718883), np.float64(27.41617980866274)]","[np.float64(6.377429910252294), np.float64(6.546505494772813), np.float64(7.026247307379207), np.float64(7.199287556587186), np.float64(7.25128943302247), np.float64(7.58040161616235), np.float64(8.28018747862391), np.float64(9.192183597046526), np.float64(10.477904961311674), np.float64(12.836982839369771)]","[0.029721498489379883, 0.02626180648803711, 0.024760007858276367, 0.01310276985168457, 0.022817373275756836, 0.021384239196777344, 0.0212862491607666, 0.018030643463134766, 0.032886505126953125, 0.025801420211791992]","[np.float64(0.010050277709960937), np.float64(0.02089337110519409), np.float64(0.022317686080932618), np.float64(0.02286081314086914), np.float64(0.022291035652160646), np.float64(0.02120973587036133), np.float64(0.020918025970458984), np.float64(0.023164265155792237), np.float64(0.026867451667785643), np.float64(0.03739211082458496)]","[0.020100555419921874, 0.0208933711051941, 0.021578642527262375, 0.021877092123031617, 0.021863599777221687, 0.021654640038808196, 0.021593435832432343, 0.022032046318054204, 0.02276543935139973, 0.02510405921936035]",12.690459251403809
Reinforce_500_b0_hS_rs42_250615_12-55-37,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(7.116186368013153), np.float64(6.698416859632072), np.float64(6.37264372521121), np.float64(6.3081745997160965), np.float64(6.844619028077897), np.float64(7.13043165733742), np.float64(13.027497493254423), np.float64(8.077129354717556), np.float64(16.054589750919053), np.float64(15.756424079703176)]","[np.float64(3.1887149551261484), np.float64(6.546505494772811), np.float64(7.350656005942654), np.float64(7.852069618401556), np.float64(7.588852621487363), np.float64(8.342629735312677), np.float64(10.852432592627515), np.float64(14.027529539699083), np.float64(18.169916150718883), np.float64(27.41617980866274)]","[np.float64(6.377429910252294), np.float64(6.546505494772813), np.float64(7.026247307379207), np.float64(7.199287556587186), np.float64(7.25128943302247), np.float64(7.58040161616235), np.float64(8.28018747862391), np.float64(9.192183597046526), np.float64(10.477904961311674), np.float64(12.836982839369771)]","[0.014010906219482422, 0.020409584045410156, 0.02060556411743164, 0.015499114990234375, 0.016786575317382812, 0.015394449234008789, 0.020249605178833008, 0.015293359756469727, 0.026334047317504883, 0.023516416549682617]","[np.float64(0.00846400260925293), np.float64(0.018093740940093993), np.float64(0.018980958461761475), np.float64(0.01794734477996826), np.float64(0.017946743965148927), np.float64(0.019787182807922365), np.float64(0.020245475769042967), np.float64(0.020993340015411376), np.float64(0.02511063814163208), np.float64(0.032378847599029544)]","[0.01692800521850586, 0.018093740940093996, 0.018296640714009587, 0.01802054286003112, 0.018156682014465325, 0.018609422842661535, 0.018753480230058937, 0.01920540213584901, 0.020166181988186302, 0.021840091228485098]",11.04748010635376
Reinforce_500_b0_hS_rs35_250615_12-55-50,0,S,500,,0,0.99,0.001,64,50,35,"[np.float64(9.156283791250582), np.float64(8.456630977211393), np.float64(10.533164102006689), np.float64(6.984170812968704), np.float64(6.279104270643591), np.float64(9.649418811284505), np.float64(181.36652273573077), np.float64(15.45169762693515), np.float64(71.14672934234282), np.float64(42.30491858857089)]","[np.float64(4.571484859455414), np.float64(8.988551164692415), np.float64(9.256049008098689), np.float64(9.496877898481442), np.float64(9.442787264540515), np.float64(9.591628453766274), np.float64(14.24981428855363), np.float64(28.413073997583766), np.float64(37.437282312330524), np.float64(40.62338572346158)]","[np.float64(9.14296971891083), np.float64(8.988551164692414), np.float64(9.218355911702734), np.float64(9.242714531586929), np.float64(9.30812845283785), np.float64(9.359019172313381), np.float64(10.720038691613784), np.float64(14.122532878630972), np.float64(16.657203940661947), np.float64(19.422703447597087)]","[0.012748479843139648, 0.02090764045715332, 0.010488748550415039, 0.01006007194519043, 0.008567333221435547, 0.012768745422363281, 0.08593130111694336, 0.0458223819732666, 0.02740311622619629, 0.04220771789550781]","[np.float64(0.007456731796264648), np.float64(0.014434888362884521), np.float64(0.016488308906555175), np.float64(0.017308647632598876), np.float64(0.015414192676544189), np.float64(0.01551377534866333), np.float64(0.01729538440704346), np.float64(0.02481033802032471), np.float64(0.028771610260009767), np.float64(0.029860882759094237)]","[0.014913463592529293, 0.014434888362884516, 0.01596336046854654, 0.015871767997741697, 0.01574369335174562, 0.015752437114715582, 0.016187033653259283, 0.01801691234111787, 0.01898360623253717, 0.020385706424713154]",10.341939926147461
