model_name,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning,tot_time
Reinforce_500_b0_hS_rs42_250615_12-58-12,0,S,500,,0,0.99,0.001,64,50,42,"[np.float64(7.116186368013153), np.float64(6.698416859632072), np.float64(9.575968406529087), np.float64(8.786172401180346), np.float64(5.508998510861073), np.float64(35.07942744985741), np.float64(13.394030535038357), np.float64(4.965757074758028), np.float64(23.491302347751244), np.float64(79.29808677479598)]","[np.float64(3.1887149551261484), np.float64(6.546505494772811), np.float64(7.382812753486966), np.float64(8.182994430940825), np.float64(8.89682616343768), np.float64(10.512107566081683), np.float64(13.477288585630287), np.float64(16.872096820366554), np.float64(28.437797785155865), np.float64(51.633961818143895)]","[np.float64(6.377429910252294), np.float64(6.546505494772813), np.float64(7.047685139075411), np.float64(7.364749962856815), np.float64(7.78734154882032), np.float64(8.413869163931777), np.float64(9.413040702194598), np.float64(10.528426078040475), np.float64(13.640764498408217), np.float64(18.749533226061153)]","[0.07016110420227051, 0.06406521797180176, 0.08354377746582031, 0.0699925422668457, 0.08100318908691406, 0.1641981601715088, 0.07509756088256836, 0.05297136306762695, 0.1475837230682373, 0.38942623138427734]","[np.float64(0.0295769739151001), np.float64(0.06016928434371948), np.float64(0.09327310562133789), np.float64(0.10344956636428833), np.float64(0.08393222808837891), np.float64(0.09335507392883301), np.float64(0.10551496267318726), np.float64(0.11892521381378174), np.float64(0.1844879412651062), np.float64(0.26266276597976684)]","[0.05915394783020018, 0.06016928434371947, 0.08190005302429201, 0.0818094253540039, 0.0827129230499267, 0.08565797487894693, 0.08922779151371546, 0.09397478461265563, 0.11039671368069111, 0.12771238088607775]",64.51398396492004
Reinforce_500_b0_hS_rs35_250615_12-59-18,0,S,500,,0,0.99,0.001,64,50,35,"[np.float64(9.156283791250582), np.float64(8.456630977211393), np.float64(10.201706293628115), np.float64(8.026872543452718), np.float64(55.6912017418229), np.float64(62.6568234830698), np.float64(48.672680008692524), np.float64(40.220197127511334), np.float64(48.20241726197616), np.float64(91.80509094179268)]","[np.float64(4.571484859455414), np.float64(8.988551164692415), np.float64(8.836566984133935), np.float64(9.000193579595608), np.float64(11.101207705204434), np.float64(14.229201240205853), np.float64(33.17450973658672), np.float64(54.642244379662), np.float64(59.56327204645143), np.float64(55.69644782227444)]","[np.float64(9.14296971891083), np.float64(8.988551164692414), np.float64(8.938701229059573), np.float64(8.994372372144015), np.float64(9.803703819517514), np.float64(10.739315328164624), np.float64(16.481076938680147), np.float64(21.71504759103899), np.float64(26.054898073740443), np.float64(28.511327637286062)]","[0.04459857940673828, 0.047881126403808594, 0.08016276359558105, 0.06142282485961914, 0.1424417495727539, 0.1742415428161621, 0.11809253692626953, 0.15135979652404785, 0.16731929779052734, 0.27902650833129883]","[np.float64(0.026017448902130126), np.float64(0.05590644598007202), np.float64(0.06523759365081787), np.float64(0.08973018646240234), np.float64(0.08769204139709473), np.float64(0.07339416265487671), np.float64(0.10135929107666015), np.float64(0.14509579420089722), np.float64(0.17127344846725465), np.float64(0.18726335525512694)]","[0.05203489780426025, 0.055906445980071995, 0.06083669503529862, 0.07281831622123709, 0.07157883358001704, 0.07301026503245027, 0.08008753572191504, 0.091031647324562, 0.10035107188754604, 0.11027798891067499]",55.74097943305969
Reinforce_500_b0_hS_rs35_250615_13-01-02,0,S,500,,0,0.99,0.001,64,50,35,"[np.float64(9.156283791250582), np.float64(8.456630977211393), np.float64(10.533164102006689), np.float64(6.984170812968704), np.float64(6.279104270643591), np.float64(9.649418811284505), np.float64(181.36652273573077), np.float64(15.45169762693515), np.float64(71.14672934234282), np.float64(42.30491858857089)]","[np.float64(4.571484859455414), np.float64(8.988551164692415), np.float64(9.256049008098689), np.float64(9.496877898481442), np.float64(9.442787264540515), np.float64(9.591628453766274), np.float64(14.24981428855363), np.float64(28.413073997583766), np.float64(37.437282312330524), np.float64(40.62338572346158)]","[np.float64(9.14296971891083), np.float64(8.988551164692414), np.float64(9.218355911702734), np.float64(9.242714531586929), np.float64(9.30812845283785), np.float64(9.359019172313381), np.float64(10.720038691613784), np.float64(14.122532878630972), np.float64(16.657203940661947), np.float64(19.422703447597087)]","[0.019115209579467773, 0.010600805282592773, 0.01903390884399414, 0.033856868743896484, 0.01770925521850586, 0.026797771453857422, 0.07097792625427246, 0.024327993392944336, 0.033167123794555664, 0.03981733322143555]","[np.float64(0.00818490982055664), np.float64(0.015850493907928465), np.float64(0.015537922382354736), np.float64(0.014752192497253418), np.float64(0.01579237937927246), np.float64(0.01896188735961914), np.float64(0.021010358333587647), np.float64(0.02477226495742798), np.float64(0.025869674682617187), np.float64(0.027132251262664796)]","[0.016369819641113274, 0.01585049390792847, 0.01581522146860759, 0.015301343202590948, 0.01580608463287355, 0.01652152458826702, 0.01729301997593473, 0.018584209680557268, 0.019198943244086393, 0.020293817996978776]",10.258641242980957
Reinforce_500_b0_hS_rs254_250615_13-01-12,0,S,500,,0,0.99,0.001,64,50,254,"[np.float64(4.190760687229734), np.float64(8.068927026742902), np.float64(0.5407919754406585), np.float64(8.95810589224801), np.float64(19.410125499092235), np.float64(12.83551035972905), np.float64(6.529789645522758), np.float64(71.45580113622965), np.float64(22.557326959404573), np.float64(81.61891960595027)]","[np.float64(1.3078878782096308), np.float64(3.865721268292969), np.float64(5.642894296336131), np.float64(8.898901355182566), np.float64(12.59993614004077), np.float64(14.510880112232496), np.float64(17.04291076371102), np.float64(18.886384263620542), np.float64(25.906103800802306), np.float64(37.4400615164474)]","[np.float64(2.615775756419262), np.float64(3.8657212682929707), np.float64(4.633854783030507), np.float64(6.3823113117377686), np.float64(7.820287325834612), np.float64(9.091834245236004), np.float64(10.455322593799284), np.float64(11.540471749832129), np.float64(13.888829528688845), np.float64(16.720389703155192)]","[0.03897809982299805, 0.013352394104003906, 0.009210586547851562, 0.02036261558532715, 0.03831148147583008, 0.031020641326904297, 0.02453136444091797, 0.06864166259765625, 0.029152393341064453, 0.07304024696350098]","[np.float64(0.03251895666122437), np.float64(0.04269316434860229), np.float64(0.020324742794036864), np.float64(0.023466885089874268), np.float64(0.027744636535644532), np.float64(0.02941282033920288), np.float64(0.029115629196166993), np.float64(0.029891335964202882), np.float64(0.03349828481674194), np.float64(0.03846663951873779)]","[0.06503791332244872, 0.04269316434860229, 0.035229132970174167, 0.03308002471923828, 0.03223533439636233, 0.03185762325922654, 0.03134399005344945, 0.031366051435470645, 0.03182272222306999, 0.03278616905212405]",16.532310009002686
Reinforce_500_b0_hS_rs78_250615_13-01-29,0,S,500,,0,0.99,0.001,64,50,78,"[np.float64(13.041585090283874), np.float64(14.47710153362263), np.float64(26.04472078556285), np.float64(19.876704533707795), np.float64(72.92841311222558), np.float64(446.88898159771645), np.float64(257.42442917656473), np.float64(275.7735991886382), np.float64(503.6586660486363), np.float64(583.6116000362202)]","[np.float64(4.262541260026431), np.float64(10.03499410451524), np.float64(14.713761684807872), np.float64(23.73448974626343), np.float64(67.88764918093597), np.float64(224.63009329783537), np.float64(376.1865775493558), np.float64(425.8087499652616), np.float64(445.57456438970775), np.float64(460.84339735896356)]","[np.float64(8.52508252005286), np.float64(10.034994104515235), np.float64(12.650868629889532), np.float64(16.88474192538932), np.float64(34.74558085030811), np.float64(86.13319238287133), np.float64(132.30015133575023), np.float64(171.05208177846868), np.float64(201.9166875699629), np.float64(229.01034489456782)]","[0.0319972038269043, 0.026105403900146484, 0.03572249412536621, 0.03100752830505371, 0.06696796417236328, 0.2579843997955322, 0.18420648574829102, 0.11130261421203613, 0.3175210952758789, 0.3321263790130615]","[np.float64(0.009566195011138916), np.float64(0.02087667226791382), np.float64(0.024855191707611083), np.float64(0.03234060525894165), np.float64(0.057855477333068846), np.float64(0.16663243293762206), np.float64(0.2614910554885864), np.float64(0.2839766788482666), np.float64(0.31629736185073853), np.float64(0.33280001640319823)]","[0.019132390022277828, 0.020876672267913825, 0.02294759114583334, 0.02660863876342775, 0.03691074562072755, 0.07328323682149251, 0.10107654844011582, 0.1259565973281861, 0.14890339586469872, 0.16732528114318868]",84.42665696144104
Reinforce_500_b0_hS_rs91_250615_13-02-53,0,S,500,,0,0.99,0.001,64,50,91,"[np.float64(13.121802967503536), np.float64(54.27941379702369), np.float64(131.63069848513695), np.float64(136.38162110625217), np.float64(13.268664826671738), np.float64(197.74627142781864), np.float64(122.53286896392984), np.float64(167.60404323074908), np.float64(199.18356351892007), np.float64(169.4995773666082)]","[np.float64(34.985266806918574), np.float64(79.66799460235491), np.float64(89.48145720235068), np.float64(81.34234750177508), np.float64(87.11012012804179), np.float64(118.29047254556976), np.float64(137.05373211967265), np.float64(142.47141020505), np.float64(157.50371710819036), np.float64(160.29659441168798)]","[np.float64(69.97053361383713), np.float64(79.66799460235495), np.float64(82.97781600617955), np.float64(80.50517105206498), np.float64(84.63073765492442), np.float64(93.10027154989993), np.float64(99.60873607342396), np.float64(105.44305621368751), np.float64(112.4742874144832), np.float64(116.41376385328762)]","[0.03085160255432129, 0.03295540809631348, 0.08659172058105469, 0.07614946365356445, 0.012198686599731445, 0.06641125679016113, 0.08029627799987793, 0.057805538177490234, 0.07108020782470703, 0.0648186206817627]","[np.float64(0.017142467498779297), np.float64(0.059625558853149414), np.float64(0.0651987624168396), np.float64(0.04828338623046875), np.float64(0.050051839351654054), np.float64(0.054596803188323974), np.float64(0.059981625080108646), np.float64(0.06201809644699097), np.float64(0.06357184886932372), np.float64(0.06081397771835327)]","[0.03428493499755859, 0.05962555885314941, 0.054894153277079284, 0.05395447254180908, 0.0529572277069092, 0.05416858275731405, 0.054964198384966134, 0.05613096117973323, 0.05687700960371226, 0.057067564487457215]",28.83382558822632
