#{"t_start": 1747305980.5042236, "env_id": "CustomHopper-source-v0"}
r,l,t
8.341838,11,2.23003
8.731784,12,2.23616
12.165108,16,2.244533
91.02368,81,2.283159
17.812328,23,2.294618
27.546987,28,2.31666
8.387712,18,2.326524
16.767515,18,2.336532
25.27695,37,2.354913
5.661859,9,2.359354
7.975255,15,2.367196
31.03999,27,2.379657
7.145253,33,2.395755
8.467753,11,2.401451
4.720601,12,2.407112
8.125954,11,2.412626
9.016516,14,2.419553
33.918174,27,2.433051
13.720048,28,2.447111
3.816269,28,2.460609
4.476311,12,2.466694
9.614533,18,2.475339
6.812437,12,2.481516
8.798098,16,2.489274
19.956352,19,2.498987
23.585777,24,2.510349
6.613183,28,2.52402
5.974047,11,2.529732
54.935697,38,2.550227
8.188667,20,2.560707
45.922847,40,2.58105
3.896601,19,2.592313
4.635321,17,2.602084
12.083239,17,2.61019
15.361504,22,2.622002
5.521009,11,2.627293
30.455844,35,2.644184
222.730361,115,2.700844
3.772352,9,2.705094
51.019422,30,2.720535
6.096293,13,2.726999
17.846563,33,2.742541
7.276784,23,2.753658
8.086124,18,2.762892
7.333528,17,2.771767
6.719757,9,2.779231
60.533552,39,2.798045
6.104612,12,2.805791
13.968171,17,2.816273
4.399532,10,2.82184
25.252408,23,2.833294
8.498392,29,2.847983
34.581075,31,2.863102
7.030058,12,2.869908
12.685427,13,2.876753
4.470204,13,2.883305
9.215252,13,2.889528
8.438616,11,2.894869
3.536439,12,2.902475
6.144545,17,2.935281
12.378635,15,2.952824
10.677503,23,3.012552
19.026221,18,3.028638
5.401036,11,3.034846
5.576751,9,3.039973
11.981537,14,3.050349
8.537009,11,3.056268
28.661561,23,3.068586
38.016206,38,3.09147
8.901133,11,3.096723
9.861109,17,3.106058
6.696508,16,3.115274
7.546414,23,3.126166
11.854312,15,3.13337
12.137735,15,3.140142
10.291007,14,3.146578
11.761817,14,3.153893
16.30108,17,3.162126
7.40126,10,3.166957
12.368673,16,3.174045
10.476926,22,3.183841
10.267137,13,3.190221
4.118685,13,3.197427
