,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning
0,0,S,100000,False,0,0.99,0.001,64,75,42,"[np.float64(2.2717101486430202), np.float64(1.9577513062232097), np.float64(5.039399414123466), np.float64(2.0014802423847233), np.float64(2.7782151597796236), np.float64(6.4093321150989855)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822)]","[np.float64(1.510390055698307), np.float64(3.776146169186985), np.float64(3.7193328812654003), np.float64(2.6713643624659396), np.float64(3.456350710869167), np.float64(4.970177696759822)]","[np.float64(0.00928187370300293), np.float64(0.008644819259643555), np.float64(0.00563812255859375), np.float64(0.0069217681884765625), np.float64(0.0069501399993896484), np.float64(0.010514974594116211)]","[np.float64(0.005249314308166504), np.float64(0.009632155895233155), np.float64(0.0082771635055542), np.float64(0.007262840270996094), np.float64(0.007632906436920166), np.float64(0.008733980655670166)]","[np.float64(0.005249314308166504), np.float64(0.009632155895233155), np.float64(0.0082771635055542), np.float64(0.007262840270996094), np.float64(0.007632906436920166), np.float64(0.008733980655670166)]"
1,0,S,100000,False,10,0.99,0.001,64,75,42,"[np.float64(3.3240418863182497), np.float64(7.263839352400639), np.float64(12.669533469576193), np.float64(47.78019699982778), np.float64(46.13427272119541), np.float64(2.227111853449542)]","[np.float64(4.535746995988043), np.float64(8.75720505328892), np.float64(13.189365625973528), np.float64(22.746242471041306), np.float64(27.994538614742346), np.float64(22.160766270073804)]","[np.float64(4.535746995988043), np.float64(8.75720505328892), np.float64(13.189365625973528), np.float64(22.746242471041306), np.float64(27.994538614742346), np.float64(22.160766270073804)]","[np.float64(0.006902933120727539), np.float64(0.010594606399536133), np.float64(0.011658906936645508), np.float64(0.022572040557861328), np.float64(0.020767688751220703), np.float64(0.007677316665649414)]","[np.float64(0.005158352851867676), np.float64(0.010189423561096192), np.float64(0.01211622953414917), np.float64(0.01634101390838623), np.float64(0.017611172199249268), np.float64(0.014515528678894043)]","[np.float64(0.005158352851867676), np.float64(0.010189423561096192), np.float64(0.01211622953414917), np.float64(0.01634101390838623), np.float64(0.017611172199249268), np.float64(0.014515528678894043)]"
2,0,S,100000,False,20,0.99,0.001,64,75,42,"[np.float64(4.939431656117503), np.float64(4.387859074280199), np.float64(14.119937906816052), np.float64(10.621573220982997), np.float64(4.776709468862587), np.float64(44.421221611108194)]","[np.float64(3.213316960668404), np.float64(6.549229182996538), np.float64(7.9163845674082305), np.float64(10.480565658496246), np.float64(11.160153154376758), np.float64(23.05679632392603)]","[np.float64(3.213316960668404), np.float64(6.549229182996538), np.float64(7.9163845674082305), np.float64(10.480565658496246), np.float64(11.160153154376758), np.float64(23.05679632392603)]","[np.float64(0.008201837539672852), np.float64(0.00845646858215332), np.float64(0.012445688247680664), np.float64(0.011516809463500977), np.float64(0.008544683456420898), np.float64(0.019947528839111328)]","[np.float64(0.004421272277832031), np.float64(0.008974642753601074), np.float64(0.009736151695251464), np.float64(0.011056723594665528), np.float64(0.011455976963043213), np.float64(0.014655108451843262)]","[np.float64(0.004421272277832031), np.float64(0.008974642753601074), np.float64(0.009736151695251464), np.float64(0.011056723594665528), np.float64(0.011455976963043213), np.float64(0.014655108451843262)]"
3,0,S,100000,False,30,0.99,0.001,64,75,42,"[np.float64(4.4968355274832055), np.float64(5.08786319365572), np.float64(7.7305543505645975), np.float64(4.4965422965028035), np.float64(3.9051700975426167), np.float64(4.614258332865289)]","[np.float64(3.272266710358067), np.float64(6.379814179763237), np.float64(6.301697618485049), np.float64(8.643199233038528), np.float64(9.133829240598624), np.float64(7.619374409083699)]","[np.float64(3.272266710358067), np.float64(6.379814179763237), np.float64(6.301697618485049), np.float64(8.643199233038528), np.float64(9.133829240598624), np.float64(7.619374409083699)]","[np.float64(0.008740901947021484), np.float64(0.010098695755004883), np.float64(0.013200521469116211), np.float64(0.008677244186401367), np.float64(0.007757663726806641), np.float64(0.011664867401123047)]","[np.float64(0.004452908039093017), np.float64(0.008872830867767334), np.float64(0.009078617095947266), np.float64(0.010439224243164062), np.float64(0.010631182193756104), np.float64(0.009485745429992675)]","[np.float64(0.004452908039093017), np.float64(0.008872830867767334), np.float64(0.009078617095947266), np.float64(0.010439224243164062), np.float64(0.010631182193756104), np.float64(0.009485745429992675)]"
4,0,S,100000,False,40,0.99,0.001,64,75,42,"[np.float64(5.588820202545532), np.float64(2.791291178916155), np.float64(41.4083483773196), np.float64(40.27108344630766), np.float64(41.25337006671586), np.float64(39.907659998155744)]","[np.float64(3.575046765596801), np.float64(8.80858882848515), np.float64(18.794448749083028), np.float64(32.339559507053245), np.float64(38.580271017731285), np.float64(35.21665967037441)]","[np.float64(3.575046765596801), np.float64(8.80858882848515), np.float64(18.794448749083028), np.float64(32.339559507053245), np.float64(38.580271017731285), np.float64(35.21665967037441)]","[np.float64(0.013128995895385742), np.float64(0.008660078048706055), np.float64(0.020360469818115234), np.float64(0.01867079734802246), np.float64(0.017871618270874023), np.float64(0.02306652069091797)]","[np.float64(0.004664433002471924), np.float64(0.009890365600585937), np.float64(0.013055784702301025), np.float64(0.017114076614379883), np.float64(0.01884281635284424), np.float64(0.01811637878417969)]","[np.float64(0.004664433002471924), np.float64(0.009890365600585937), np.float64(0.013055784702301025), np.float64(0.017114076614379883), np.float64(0.01884281635284424), np.float64(0.01811637878417969)]"
5,0,S,100000,False,50,0.99,0.001,64,75,42,"[np.float64(3.966515978664001), np.float64(3.970811717926805), np.float64(8.997854298676577), np.float64(10.175767833477162), np.float64(39.12828715809512), np.float64(6.865446882754211)]","[np.float64(3.0765473079135286), np.float64(12.410729150764968), np.float64(19.931201836374772), np.float64(13.537190388873485), np.float64(11.128820643105623), np.float64(21.221354502438256)]","[np.float64(3.0765473079135286), np.float64(12.410729150764968), np.float64(19.931201836374772), np.float64(13.537190388873485), np.float64(11.128820643105623), np.float64(21.221354502438256)]","[np.float64(0.01031351089477539), np.float64(0.00813436508178711), np.float64(0.008562564849853516), np.float64(0.011599302291870117), np.float64(0.022852420806884766), np.float64(0.010630369186401367)]","[np.float64(0.004581277370452881), np.float64(0.011360106468200683), np.float64(0.013527333736419678), np.float64(0.011385202407836914), np.float64(0.010492808818817138), np.float64(0.029365596771240236)]","[np.float64(0.004581277370452881), np.float64(0.011360106468200683), np.float64(0.013527333736419678), np.float64(0.011385202407836914), np.float64(0.010492808818817138), np.float64(0.029365596771240236)]"
6,0,S,100000,False,60,0.99,0.001,64,75,42,"[np.float64(3.8357485846632313), np.float64(4.241966618388103), np.float64(3.237041263654069), np.float64(42.15658341299088), np.float64(47.441968692244785), np.float64(6.952930432257235)]","[np.float64(2.8539650938592063), np.float64(5.906586252055118), np.float64(7.285945475293875), np.float64(16.33350522898536), np.float64(29.217678731882987), np.float64(36.94802258389272)]","[np.float64(2.8539650938592063), np.float64(5.906586252055118), np.float64(7.285945475293875), np.float64(16.33350522898536), np.float64(29.217678731882987), np.float64(36.94802258389272)]","[np.float64(0.008714437484741211), np.float64(0.008948326110839844), np.float64(0.0074405670166015625), np.float64(0.018515825271606445), np.float64(0.02097177505493164), np.float64(0.008768320083618164)]","[np.float64(0.004381210803985596), np.float64(0.008687796592712403), np.float64(0.009013297557830811), np.float64(0.012067849636077882), np.float64(0.016007115840911867), np.float64(0.01800046443939209)]","[np.float64(0.004381210803985596), np.float64(0.008687796592712403), np.float64(0.009013297557830811), np.float64(0.012067849636077882), np.float64(0.016007115840911867), np.float64(0.01800046443939209)]"
7,0,S,100000,False,70,0.99,0.001,64,75,42,"[np.float64(4.276310569926337), np.float64(3.8323860810633708), np.float64(46.74998405265515), np.float64(51.296505472479886), np.float64(39.25205061923107), np.float64(40.70167905638031)]","[np.float64(3.0222447830684134), np.float64(7.551810294653791), np.float64(12.55382310176849), np.float64(17.99379358432157), np.float64(22.56980290680255), np.float64(33.80979819998253)]","[np.float64(3.0222447830684134), np.float64(7.551810294653791), np.float64(12.55382310176849), np.float64(17.99379358432157), np.float64(22.56980290680255), np.float64(33.80979819998253)]","[np.float64(0.006416797637939453), np.float64(0.007603883743286133), np.float64(0.02099323272705078), np.float64(0.021654367446899414), np.float64(0.02336287498474121), np.float64(0.02081155776977539)]","[np.float64(0.004445178508758545), np.float64(0.009743804931640626), np.float64(0.01143232822418213), np.float64(0.013102622032165527), np.float64(0.014511799812316895), np.float64(0.017481729984283448)]","[np.float64(0.004445178508758545), np.float64(0.009743804931640626), np.float64(0.01143232822418213), np.float64(0.013102622032165527), np.float64(0.014511799812316895), np.float64(0.017481729984283448)]"
8,0,S,100000,False,80,0.99,0.001,64,75,42,"[np.float64(3.4853041352748155), np.float64(3.942340203557645), np.float64(4.494577225387972), np.float64(8.443388136121431), np.float64(6.3188380543316995), np.float64(3.0791535707960724)]","[np.float64(3.036683133384746), np.float64(5.449261243879831), np.float64(4.63115594244046), np.float64(4.922397108354987), np.float64(5.330079427854553), np.float64(5.8884600160372464)]","[np.float64(3.036683133384746), np.float64(5.449261243879831), np.float64(4.63115594244046), np.float64(4.922397108354987), np.float64(5.330079427854553), np.float64(5.8884600160372464)]","[np.float64(0.0062389373779296875), np.float64(0.00764155387878418), np.float64(0.006403923034667969), np.float64(0.008363723754882812), np.float64(0.009070634841918945), np.float64(0.012386560440063477)]","[np.float64(0.004295518398284912), np.float64(0.008445377349853516), np.float64(0.008080151081085205), np.float64(0.0084515380859375), np.float64(0.00873037576675415), np.float64(0.008883943557739258)]","[np.float64(0.004295518398284912), np.float64(0.008445377349853516), np.float64(0.008080151081085205), np.float64(0.0084515380859375), np.float64(0.00873037576675415), np.float64(0.008883943557739258)]"
9,0,S,100000,False,90,0.99,0.001,64,75,42,"[np.float64(5.017116448892878), np.float64(4.217363962683715), np.float64(5.013931154107071), np.float64(9.925697061074905), np.float64(8.768071024074391), np.float64(7.789411666670907)]","[np.float64(3.519645211158005), np.float64(7.172935738770305), np.float64(6.47304244438143), np.float64(5.81078250568563), np.float64(5.827470126910434), np.float64(5.794750694439284)]","[np.float64(3.519645211158005), np.float64(7.172935738770305), np.float64(6.47304244438143), np.float64(5.81078250568563), np.float64(5.827470126910434), np.float64(5.794750694439284)]","[np.float64(0.008152484893798828), np.float64(0.008408784866333008), np.float64(0.00865316390991211), np.float64(0.011115074157714844), np.float64(0.012186288833618164), np.float64(0.009675979614257812)]","[np.float64(0.004419524669647217), np.float64(0.008626823425292968), np.float64(0.008662447929382325), np.float64(0.009449450969696046), np.float64(0.010230162143707276), np.float64(0.009917364120483399)]","[np.float64(0.004419524669647217), np.float64(0.008626823425292968), np.float64(0.008662447929382325), np.float64(0.009449450969696046), np.float64(0.010230162143707276), np.float64(0.009917364120483399)]"
