model_name,type_alg,hopper,n_episodes,trained_model,baseline,gamma,optim_lr,layer_size,save_every,random_state,returns,returns_AvgLast,returns_AvgBeginning,times,times_AvgLast,times_AvgBeginning,tot_time
Reinforce_100_b0_hS_rs42_250528_23-48-57,0,S,100,,0,0.99,0.001,64,75,42,[np.float64(12.971176556385156)],[np.float64(1.8640813160115919)],[np.float64(3.7281626320231847)],[0.007197856903076172],[np.float64(0.0028545411427815756)],[0.005709082285563152],0.5477969646453857
Reinforce_100_b0_hS_rs42_250528_23-50-02,0,S,100,,0,0.99,0.001,64,75,42,[np.float64(12.971176556385156)],[np.float64(1.8640813160115919)],[np.float64(3.7281626320231847)],[0.00842595100402832],[np.float64(0.0035107994079589845)],[0.007021598815917966],0.673093318939209
Reinforce_100_b100_hS_rs42_250528_23-50-02,0,S,100,,100,0.99,0.001,64,75,42,[np.float64(9.451880411972564)],[np.float64(7.010564837243589)],[np.float64(14.021129674487176)],[0.022516727447509766],[np.float64(0.005759936968485514)],[0.01151987393697103],1.1877446174621582
Reinforce_100_b250_hS_rs42_250528_23-50-03,0,S,100,,250,0.99,0.001,64,75,42,[np.float64(5.623177909402488)],[np.float64(4.714179449324146)],[np.float64(9.42835889864829)],[0.004372596740722656],[np.float64(0.0035147492090861)],[0.007029498418172202],0.7134687900543213
Reinforce_100_b0_hS_rs35_250528_23-50-04,0,S,100,,0,0.99,0.001,64,75,35,[np.float64(14.52552455948101)],[np.float64(3.817939823103213)],[np.float64(7.635879646206428)],[0.013810873031616211],[np.float64(0.00651580015818278)],[0.013031600316365565],1.3343110084533691
Reinforce_100_b100_hS_rs35_250528_23-50-06,0,S,100,,100,0.99,0.001,64,75,35,[np.float64(6.655900815624408)],[np.float64(2.4201635314305205)],[np.float64(4.840327062861038)],[0.014050722122192383],[np.float64(0.006263769467671712)],[0.012527538935343425],1.1745789051055908
Reinforce_100_b250_hS_rs35_250528_23-50-07,0,S,100,,250,0.99,0.001,64,75,35,[np.float64(3.044035781374548)],[np.float64(3.2105903994676557)],[np.float64(6.421180798935309)],[0.017465829849243164],[np.float64(0.00634275754292806)],[0.012685515085856117],1.3263278007507324
Reinforce_100_b0_hS_rs254_250528_23-50-08,0,S,100,,0,0.99,0.001,64,75,254,[np.float64(8.871154588976434)],[np.float64(3.3492882092597247)],[np.float64(6.69857641851945)],[0.0075948238372802734],[np.float64(0.003522542317708333)],[0.007045084635416663],0.6899840831756592
Reinforce_100_b100_hS_rs254_250528_23-50-09,0,S,100,,100,0.99,0.001,64,75,254,[np.float64(10.164786646725576)],[np.float64(3.5332318101102054)],[np.float64(7.066463620220408)],[0.0053653717041015625],[np.float64(0.002932453155517578)],[0.005864906311035155],0.6121864318847656
Reinforce_100_b250_hS_rs254_250528_23-50-09,0,S,100,,250,0.99,0.001,64,75,254,[np.float64(10.165690544788019)],[np.float64(3.5335691023737326)],[np.float64(7.0671382047474625)],[0.00872039794921875],[np.float64(0.0029678583145141602)],[0.005935716629028318],0.6375730037689209
Reinforce_100_b0_hS_rs78_250528_23-50-10,0,S,100,,0,0.99,0.001,64,75,78,[np.float64(0.21036550683680777)],[np.float64(0.6724106168143796)],[np.float64(1.3448212336287595)],[0.004716634750366211],[np.float64(0.0024768622716267903)],[0.004953724543253583],0.47417783737182617
Reinforce_100_b100_hS_rs78_250528_23-50-10,0,S,100,,100,0.99,0.001,64,75,78,[np.float64(0.7831058196396105)],[np.float64(1.0890826031269083)],[np.float64(2.1781652062538184)],[0.004791259765625],[np.float64(0.002348461151123047)],[0.004696922302246092],0.4656791687011719
Reinforce_100_b250_hS_rs78_250528_23-50-11,0,S,100,,250,0.99,0.001,64,75,78,[np.float64(0.8476742572755089)],[np.float64(1.120399322525013)],[np.float64(2.2407986450500266)],[0.003801107406616211],[np.float64(0.002337342898050944)],[0.004674685796101889],0.4867124557495117
Reinforce_100_b0_hS_rs91_250528_23-50-11,0,S,100,,0,0.99,0.001,64,75,91,[np.float64(-4.115671771555503)],[np.float64(-2.034756382525409)],[np.float64(-4.069512765050817)],[0.012833118438720703],[np.float64(0.012402065594991048)],[0.024804131189982093],2.5657732486724854
Reinforce_100_b100_hS_rs91_250528_23-50-14,0,S,100,,100,0.99,0.001,64,75,91,[np.float64(-7.10637648465875)],[np.float64(-2.759629231337519)],[np.float64(-5.5192584626750385)],[0.008646011352539062],[np.float64(0.00966631253560384)],[0.019332625071207685],1.8447456359863281
Reinforce_100_b250_hS_rs91_250528_23-50-16,0,S,100,,250,0.99,0.001,64,75,91,[np.float64(-5.930600226057309)],[np.float64(-2.6531609800739493)],[np.float64(-5.306321960147901)],[0.013328075408935547],[np.float64(0.013028737703959146)],[0.026057475407918296],2.704890012741089
Reinforce_100_b0_hS_rs53_250528_23-50-19,0,S,100,,0,0.99,0.001,64,75,53,[np.float64(7.309008575490219)],[np.float64(2.7577914825664016)],[np.float64(5.515582965132803)],[0.006264686584472656],[np.float64(0.004970900217692057)],[0.009941800435384115],0.9371328353881836
Reinforce_100_b100_hS_rs53_250528_23-50-20,0,S,100,,100,0.99,0.001,64,75,53,[np.float64(2.309718820644302)],[np.float64(2.3339828487164516)],[np.float64(4.667965697432907)],[0.004937887191772461],[np.float64(0.0033248011271158856)],[0.0066496022542317694],0.6666982173919678
Reinforce_100_b250_hS_rs53_250528_23-50-20,0,S,100,,250,0.99,0.001,64,75,53,[np.float64(3.557274102040629)],[np.float64(2.782995025517879)],[np.float64(5.565990051035755)],[0.006754636764526367],[np.float64(0.003342086474100749)],[0.006684172948201499],0.6954925060272217
Reinforce_100_b0_hS_rs22_250528_23-50-21,0,S,100,,0,0.99,0.001,64,75,22,[np.float64(-0.0854643471992278)],[np.float64(-0.3003481835360477)],[np.float64(-0.6006963670720954)],[0.003916740417480469],[np.float64(0.0021663188934326174)],[0.004332637786865234],0.45647525787353516
Reinforce_100_b100_hS_rs22_250528_23-50-21,0,S,100,,100,0.99,0.001,64,75,22,[np.float64(-0.9562939386804692)],[np.float64(-0.538305431072038)],[np.float64(-1.0766108621440766)],[0.007972955703735352],[np.float64(0.0025826120376586915)],[0.005165224075317384],0.5278868675231934
Reinforce_100_b250_hS_rs22_250528_23-50-22,0,S,100,,250,0.99,0.001,64,75,22,[np.float64(-0.9453128868822331)],[np.float64(-0.5381516489246285)],[np.float64(-1.0763032978492568)],[0.005791664123535156],[np.float64(0.002990055084228516)],[0.00598011016845703],0.5412588119506836
Reinforce_100_b0_hS_rs341_250528_23-50-22,0,S,100,,0,0.99,0.001,64,75,341,[np.float64(2.0747966967172493)],[np.float64(1.0314847273140493)],[np.float64(2.0629694546280994)],[0.004275798797607422],[np.float64(0.0025431299209594726)],[0.005086259841918946],0.5556545257568359
Reinforce_100_b100_hS_rs341_250528_23-50-23,0,S,100,,100,0.99,0.001,64,75,341,[np.float64(3.5764631763616044)],[np.float64(2.2195510146295434)],[np.float64(4.439102029259083)],[0.004839181900024414],[np.float64(0.0030797195434570314)],[0.00615943908691406],0.6240115165710449
Reinforce_100_b250_hS_rs341_250528_23-50-24,0,S,100,,250,0.99,0.001,64,75,341,[np.float64(4.096818346564073)],[np.float64(2.3126004271922453)],[np.float64(4.6252008543844925)],[0.0047490596771240234],[np.float64(0.003393732706705729)],[0.0067874654134114564],0.6775388717651367
Reinforce_100_b0_hS_rs117_250528_23-50-24,0,S,100,,0,0.99,0.001,64,75,117,[np.float64(4.661295922309491)],[np.float64(4.618602720576106)],[np.float64(9.23720544115221)],[0.005873918533325195],[np.float64(0.003877406120300293)],[0.007754812240600585],0.8431768417358398
Reinforce_100_b100_hS_rs117_250528_23-50-25,0,S,100,,100,0.99,0.001,64,75,117,[np.float64(10.630803024749245)],[np.float64(4.32955570632178)],[np.float64(8.659111412643561)],[0.008190631866455078],[np.float64(0.004108761151631673)],[0.008217522303263352],0.7997152805328369
